Dimension, Obstacles, Seed, Algorithm, Time, Nodes Expanded, Plan Length, Error, Plan
4, 0, 2881141419, gbfs, 0.12, 10, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 2881141419, astar, 0.63, 59, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 2881141419, custom-astar, 0.72, 74, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 4, 0, bfs, 0.91, 91, 10, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 4, 0, ucs, 0.79, 83, 10, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF
4, 4, 0, gbfs, 0.15, 15, 10, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF
4, 4, 0, astar, 0.63, 68, 10, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF
4, 4, 0, custom-astar, 0.71, 76, 10, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF
4, 4, 3735929054, bfs, 1.07, 91, 10, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF
4, 4, 3735929054, ucs, 0.68, 74, 10, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF
4, 4, 3735929054, gbfs, 0.11, 11, 10, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF
4, 4, 3735929054, astar, 0.47, 50, 10, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF
4, 4, 3735929054, custom-astar, 0.65, 61, 10, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF
4, 4, 195936478, bfs, 0.92, 92, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 4, 195936478, ucs, 0.85, 78, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 4, 195936478, gbfs, 0.15, 10, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 4, 195936478, astar, 0.59, 53, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 4, 195936478, custom-astar, 0.79, 68, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 4, 20493, bfs, 1.07, 93, 10, None, TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF
4, 4, 20493, ucs, 0.97, 84, 10, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 4, 20493, gbfs, 0.23, 19, 10, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 4, 20493, astar, 0.92, 71, 10, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 4, 20493, custom-astar, 0.97, 81, 10, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 4, 2881141419, bfs, 1.01, 92, 11, None, TurnCCW_MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF
4, 4, 2881141419, ucs, 0.87, 89, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF
4, 4, 2881141419, gbfs, 0.21, 17, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF
4, 4, 2881141419, astar, 0.79, 81, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF
4, 4, 2881141419, custom-astar, 0.98, 84, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF
4, 8, 0, bfs, 0.87, 80, 10, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 8, 0, ucs, 0.90, 72, 10, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF
4, 8, 0, gbfs, 0.13, 11, 10, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF
4, 8, 0, astar, 0.55, 55, 10, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF
4, 8, 0, custom-astar, 0.58, 64, 10, None, MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF
4, 8, 3735929054, bfs, 0.88, 94, 11, None, TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 8, 3735929054, ucs, 0.86, 88, 11, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 8, 3735929054, gbfs, 0.35, 33, 17, None, MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_TurnCCW_MoveF_MoveF
4, 8, 3735929054, astar, 0.71, 74, 11, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 8, 3735929054, custom-astar, 0.87, 80, 11, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 8, 195936478, bfs, 0.78, 83, 12, None, TurnCCW_MoveF_TurnCW_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF
4, 8, 195936478, ucs, 0.76, 80, 12, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF
4, 8, 195936478, gbfs, 0.25, 26, 12, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF
4, 8, 195936478, astar, 0.72, 79, 12, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF
